event_id,user_id,event_type,event_date
a2822cc1-92f0-4d04-943a-2e8d97a3454e,a75fd00c-dd5e-45dd-bfc4-b90adaa2be4c,milestone_hit,2023-07-14
5db64685-3c23-41ba-ab50-348da25bb36d,a14960f0-b4f3-420f-8a1e-f9a5a409dad1,streak_lost,2023-10-24
7d8b1634-8b73-4419-971d-7f55c0e66a24,34a2c074-960c-4b1f-94cb-ef70c5797d0a,milestone_hit,2023-03-11
06fb9fa0-c022-4d93-9d27-cb127e399cea,f18cf2be-9ccb-4fde-918b-2fca206f1506,challenge_joined,2023-11-07
ad903b8c-7d28-4c18-a3a8-0b663696bbd9,b078dfae-65d0-4d8d-b3a5-3a84457ffdc5,streak_lost,2023-10-01
85d8b7af-1610-4cba-aeda-aa2eee0c86f2,0f372ce3-809b-4a5a-acd5-7e6025f9fafd,challenge_joined,2023-09-26
e0e096bc-ec48-4de4-8414-1469755dba3d,bbe14f0d-3f9d-4a7e-ab20-0e22b49716a3,milestone_hit,2023-08-29
c5c8bcda-fc2b-42a8-aac8-f8021ce5169f,dfa189be-c1c6-4250-99ca-ab55ae583bdb,notification_clicked,2023-04-10
5e45434f-9014-407f-a6a2-25109c968a95,820a7580-cb84-4de8-a50c-36d0f576f5b5,challenge_joined,2023-08-15
0dad8575-3ac7-4bce-9f24-07d1c5384b02,a83b1f38-e49e-4455-bd2f-f86c206afacc,milestone_hit,2023-06-27
1240702e-418d-454b-8f2f-69aee62cfccc,bf5a84e2-4565-4137-b5e1-d26a92f28309,streak_lost,2023-06-07
339f72f8-4c28-437b-8a2a-0d22d6d2d68b,d2b412d9-017d-4842-91cb-5c8e7bac2eb5,notification_clicked,2023-01-07
c8a7b5d4-2098-4faa-bd65-711d022b6657,46264681-1c87-42ba-929d-24b95abd3ba9,milestone_hit,2023-03-20
6e4461f6-6668-4667-ace7-1e205bf098eb,37cee5b3-acf5-42b0-a72f-eec76bcae1f7,milestone_hit,2023-12-27
4667bb85-1804-4fcc-8c40-77675e19faa8,2eb9891c-3cfc-4a73-ab55-6456850b9846,challenge_joined,2023-04-14
7c525b08-5e46-4e14-a1b0-67ef8063e425,362f65f8-a8a9-41d9-814d-a4f6d864375d,streak_lost,2023-12-15
e0c3f729-8dfa-49f2-a5e6-f5b5207e26c5,561e94d8-2880-456e-89b8-68d6a088e1c8,milestone_hit,2023-03-04
f5c0c40b-3459-4468-a63e-3952f4f4eb49,b24a0ab1-0127-49eb-a55c-f15c00d50440,reward_earned,2023-10-01
